日付,【得意先】,伝票番号,商品名,数量,単位,単価,金額,粗利
2020-10-31,三機工業　株式会社　（新河岸/赤城）,386930,一般廃棄物（10/1～10/6）,1 ,式,1290 ,1419 ,6600 
2020-12-23,三機工業　株式会社　（愛知ﾄｳﾁｭｳ/赤城）,395106,混合廃棄物,2 ,m3,15000 ,33000 ,5280 
2020-11-09,三機工業　株式会社　（山形/片岡）,388707,混合廃棄物,6 ,m3,13500 ,81675 ,1419 
2020-11-17,三機工業　株式会社　（山形/片岡）,390592,混合廃棄物,3 ,m3,13500 ,37125 ,33000 
2020-11-25,三機工業　株式会社　（山形/片岡）,390597,混合廃棄物（金属くず）,4 ,m3,9000 ,39600 ,81675 
2020-11-27,三機工業　株式会社　（山形/片岡）,392359,混合廃棄物,3 ,m3,13500 ,37125 ,37125 
2020-10-13,三機工業　株式会社　（多摩川/尾久）,383683,混合廃棄物,6 ,m3,10000 ,66000 ,39600 
2020-10-13,三機工業　株式会社　（多摩川/尾久）,383684,木くず,15 ,m3,6000 ,99000 ,37125 
2020-10-31,三機工業　株式会社　（多摩川/尾久）,387224,事務手数料,1 ,式,1500 ,1650 ,66000 
2020-10-31,三機工業　株式会社　（多摩川/尾久）,387224,一般廃棄物,1 ,式,17000 ,18700 ,99000 
2020-11-30,三機工業　株式会社　（多摩川/尾久）,391075,事務手数料,1 ,式,1500 ,1650 ,1650 
2020-11-30,三機工業　株式会社　（多摩川/尾久）,391075,一般廃棄物,1 ,式,17000 ,18700 ,18700 
2020-12-02,三機工業　株式会社　（多摩川/尾久）,390624,混合廃棄物（フライト）,5 ,m3,35000 ,192500 ,1650 
2020-12-02,三機工業　株式会社　（多摩川/尾久）,390625,混合廃棄物,13 ,m3,10000 ,143000 ,18700 
2020-12-25,三機工業　株式会社　（多摩川/尾久）,394216,木くず,10 ,m3,6000 ,66000 ,192500 
2020-12-28,三機工業　株式会社　（多摩川/尾久）,394633,ダンボ－ル,13 ,m3,2000 ,28600 ,143000 
2020-12-28,三機工業　株式会社　（多摩川/尾久）,394657,混合廃棄物,6 ,m3,10000 ,66000 ,66000 
2020-12-31,三機工業　株式会社　（多摩川/尾久）,395320,事務手数料,1 ,式,1500 ,1650 ,28600 
2020-12-31,三機工業　株式会社　（多摩川/尾久）,395320,一般廃棄物,1 ,式,17000 ,18700 ,66000 
2020-12-16,三機工業　株式会社　（北多摩/安田）,392689,配線（14294012586）,0 ,,0 ,0 ,1650 
2020-12-16,三機工業　株式会社　（北多摩/安田）,392689,混合廃棄物（14292260275）,5 ,m3,10000 ,55000 ,18700 
2020-10-05,三機工業　株式会社　（浅川/岩月）,382845,コンクリ－トがら　無筋,2030 ,kg,3 ,6699 ,(3080)
2020-10-19,三機工業　株式会社　（浅川/岩月）,384709,コンクリ－トがら　無筋,1730 ,kg,3 ,5709 ,55000 
2020-10-26,三機工業　株式会社　（浅川/岩月）,385363,混合廃棄物,8 ,m3,10000 ,88000 ,6699 
2020-10-28,三機工業　株式会社　（浅川/岩月）,386125,廃油,100 ,L,150 ,16500 ,5709 
2020-11-17,三機工業　株式会社　（浅川/岩月）,388617,木くず（14266123476）,3 ,m3,6000 ,19800 ,88000 
2020-11-17,三機工業　株式会社　（浅川/岩月）,388617,混合廃棄物（14266123487）,5 ,m3,10000 ,55000 ,16500 
2020-11-30,三機工業　株式会社　（浅川/岩月）,390503,コンクリ－トがら　無筋,2230 ,kg,3 ,7359 ,19800 
2020-11-30,三機工業　株式会社　（浅川/岩月）,390516,コンクリ－トがら　無筋,2370 ,kg,3 ,7821 ,55000 
2020-12-15,三機工業　株式会社　（浅川/岩月）,392526,木くず（14293296792）,2 ,m3,6000 ,13200 ,7359 
2020-12-15,三機工業　株式会社　（浅川/岩月）,392526,混合廃棄物（14293296781）,6 ,m3,10000 ,66000 ,7821 
2020-12-17,三機工業　株式会社　（浅川/岩月）,392867,木くず（14295850420）,3 ,m3,6000 ,19800 ,13200 
2020-12-17,三機工業　株式会社　（浅川/岩月）,392867,混合廃棄物（14295850419）,5 ,m3,10000 ,55000 ,66000 
2020-10-22,三機工業　株式会社　（南プラ/橘）,384896,混合廃棄物,6 ,m3,10000 ,66000 ,19800 
2020-10-22,三機工業　株式会社　（南プラ/橘）,386066,コンクリ－トがら　無筋,2800 ,kg,3 ,9240 ,55000 
2020-10-23,三機工業　株式会社　（南プラ/橘）,386071,コンクリ－トがら　無筋,2570 ,kg,3 ,8481 ,66000 
2020-10-26,三機工業　株式会社　（南プラ/橘）,386084,コンクリ－トがら　無筋,2420 ,kg,3 ,7986 ,9240 
2020-10-26,三機工業　株式会社　（南プラ/橘）,386745,コンクリ－トがら　無筋,2410 ,kg,3 ,7953 ,8481 
2020-10-27,三機工業　株式会社　（南プラ/橘）,386058,特車申請費,2 ,台,50000 ,110000 ,7986 
2020-10-27,三機工業　株式会社　（南プラ/橘）,386748,コンクリ－トがら　無筋,2380 ,kg,3 ,7854 ,7953 
2020-10-28,三機工業　株式会社　（南プラ/橘）,386751,コンクリ－トがら　無筋,2590 ,kg,3 ,8547 ,110000 
2020-10-28,三機工業　株式会社　（南プラ/橘）,386757,コンクリ－トがら　無筋,2580 ,kg,3 ,8514 ,7854 
2020-10-29,三機工業　株式会社　（南プラ/橘）,386760,コンクリ－トがら　無筋,2770 ,kg,3 ,9141 ,8547 
2020-10-29,三機工業　株式会社　（南プラ/橘）,386763,コンクリ－トがら　無筋,2510 ,kg,3 ,8283 ,8514 
2020-10-30,三機工業　株式会社　（南プラ/橘）,386766,コンクリ－トがら　無筋,2460 ,kg,3 ,8118 ,9141 
2020-10-30,三機工業　株式会社　（南プラ/橘）,386769,コンクリ－トがら　無筋,2450 ,kg,3 ,8085 ,8283 
2020-10-31,三機工業　株式会社　（南プラ/橘）,386961,メッシュパレットリース料（10/23～,2 ,台,900 ,1980 ,8118 
2020-11-02,三機工業　株式会社　（南プラ/橘）,387121,コンクリ－トがら　無筋,2470 ,kg,3 ,8151 ,8085 
2020-11-02,三機工業　株式会社　（南プラ/橘）,387975,コンクリ－トがら　無筋,2560 ,kg,3 ,8448 ,1980 
2020-11-04,三機工業　株式会社　（南プラ/橘）,387980,コンクリ－トがら　無筋,2340 ,kg,3 ,7722 ,8151 
2020-11-05,三機工業　株式会社　（南プラ/橘）,387984,コンクリ－トがら　無筋,2200 ,kg,3 ,7260 ,8448 
2020-11-06,三機工業　株式会社　（南プラ/橘）,388531,コンクリ－トがら　無筋,2340 ,kg,3 ,7722 ,7722 
2020-11-09,三機工業　株式会社　（南プラ/橘）,387493,混合廃棄物,8 ,m3,10000 ,88000 ,7260 
2020-11-09,三機工業　株式会社　（南プラ/橘）,387620,コンクリ－トがら　無筋,2450 ,kg,3 ,8085 ,7722 
2020-11-09,三機工業　株式会社　（南プラ/橘）,387791,コンクリ－トがら　無筋,2030 ,kg,3 ,6699 ,88000 
2020-11-10,三機工業　株式会社　（南プラ/橘）,388144,コンクリ－トがら　無筋,2430 ,kg,3 ,8019 ,8085 
2020-11-10,三機工業　株式会社　（南プラ/橘）,388537,コンクリ－トがら　無筋,2400 ,kg,3 ,7920 ,6699 
2020-11-11,三機工業　株式会社　（南プラ/橘）,388149,コンクリ－トがら　無筋,2610 ,kg,3 ,8613 ,8019 
2020-11-11,三機工業　株式会社　（南プラ/橘）,388663,コンクリ－トがら　無筋,2590 ,kg,3 ,8547 ,7920 
2020-11-11,三機工業　株式会社　（南プラ/橘）,388667,コンクリ－トがら　無筋,2400 ,kg,3 ,7920 ,8613 
2020-11-12,三機工業　株式会社　（南プラ/橘）,388671,コンクリ－トがら　無筋,2310 ,kg,3 ,7623 ,8547 
2020-11-12,三機工業　株式会社　（南プラ/橘）,388676,コンクリ－トがら　無筋,2600 ,kg,3 ,8580 ,7920 
2020-11-12,三機工業　株式会社　（南プラ/橘）,388681,コンクリ－トがら　無筋,2430 ,kg,3 ,8019 ,7623 
2020-11-13,三機工業　株式会社　（南プラ/橘）,388685,コンクリ－トがら　無筋,2110 ,kg,3 ,6963 ,8580 
2020-11-13,三機工業　株式会社　（南プラ/橘）,389508,コンクリ－トがら　無筋,2720 ,kg,3 ,8976 ,8019 
2020-11-16,三機工業　株式会社　（南プラ/橘）,389512,コンクリ－トがら　無筋,2490 ,kg,3 ,8217 ,6963 
2020-11-16,三機工業　株式会社　（南プラ/橘）,389925,コンクリ－トがら　無筋,2250 ,kg,3 ,7425 ,8976 
2020-11-16,三機工業　株式会社　（南プラ/橘）,389928,コンクリ－トがら　無筋,2660 ,kg,3 ,8778 ,8217 
2020-11-17,三機工業　株式会社　（南プラ/橘）,388690,廃油,126 ,L,150 ,20790 ,7425 
2020-11-17,三機工業　株式会社　（南プラ/橘）,389516,コンクリ－トがら　無筋,2380 ,kg,3 ,7854 ,8778 
2020-11-17,三機工業　株式会社　（南プラ/橘）,389520,コンクリ－トがら　無筋,2580 ,kg,3 ,8514 ,20790 
2020-11-17,三機工業　株式会社　（南プラ/橘）,389931,コンクリ－トがら　無筋,2600 ,kg,3 ,8580 ,7854 
2020-11-18,三機工業　株式会社　（南プラ/橘）,389935,コンクリ－トがら　無筋,2630 ,kg,3 ,8679 ,8514 
2020-11-18,三機工業　株式会社　（南プラ/橘）,389941,コンクリ－トがら　無筋,2400 ,kg,3 ,7920 ,8580 
2020-11-18,三機工業　株式会社　（南プラ/橘）,389946,コンクリ－トがら　無筋,2660 ,kg,3 ,8778 ,8679 
2020-11-19,三機工業　株式会社　（南プラ/橘）,389950,コンクリ－トがら　無筋,2710 ,kg,3 ,8943 ,7920 
2020-11-19,三機工業　株式会社　（南プラ/橘）,389953,コンクリ－トがら　無筋,2560 ,kg,3 ,8448 ,8778 
2020-11-19,三機工業　株式会社　（南プラ/橘）,389958,コンクリ－トがら　無筋,2640 ,kg,3 ,8712 ,8943 
